dataName,classToSearch,fieldToSearch,dataClass,fileName,dataType,URL,,
oilGas,Oil/Gas,Class,oilGas,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
settlements,Airstrip,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
settlements,Airstrip,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
settlements,Settlement,Class,settlements,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
settlements,Settlement,Class,settlements,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
settlements,Unknown,Class,otherPolygons,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
settlements,Unknown,Class,otherPolygons,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
mining,Mine,Class,mining,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
mining,Mine,Class,mining,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
mining,miningLeases,,mining,MiningLeases.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,,
mining,mineralClaims,,potentialMining,MineralClaims.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,,
mining,prospectingPermits,,potentialMining,ProspectingPermits.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,,
roads,Road,Class,roads,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
roads,NRN,,roads,NRN_NT_13_0_ROADSEG.shp,shapefile,https://zenodo.org/records/20276423/files/NRN_NT_13_0_SHAPE_en.zip?download=1,,
roads,Road,Class,roads,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
forestry,Cutblock,Class,cutblocks,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
forestry,Cutblock,Class,cutblocks,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
forestry,potentialCutblocks,,potentialCutblocks,NT_FORCOV.shp,shapefile,https://zenodo.org/records/20390000/files/NT_FORCOV.zip?download=1,,
forestry,potentialCutblocks,,potentialCutblocks,Permit_Area.shp,shapefile,https://mvlwb.ca/Documents/MV2015W0018/MV2015W0018%20-%20Digaa%20Enterprises%20Shapefiles.zip,,
forestry,potentialCutblocks,,potentialCutblocks,Timberworks_LandUsePermitArea.shp,shapefile,https://zenodo.org/records/20276451/files/Timberworks_LandUsePermitArea.zip?download=1,,
forestry,Cutblock,,cutblocks,CutblocksHistory_UpdatedJan2022.shp,shapefile,https://zenodo.org/records/20390196/files/CutblocksHistory_UpdatedJan2022.zip?download=1,,
settlements,Railway,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
settlements,Unknown,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
settlements,Railway,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
settlements,Unknown,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
